option-name,"Boom Chocolate*","Boom Chocolate","boom chocolate","Boom Chocolates","boom chocolates"
option-name,"Chocolate Chip Cookie*","Chocolate Chip Cookie","chocolate chip cookie","Chocolate Chip Cookies","chocolate chip cookies"
option-name,"Salted Caramel*","Salted Caramel","salted caramel","Salted Caramels","salted caramels"
option-name,"Cherry Garcia*","Cherry Garcia","cherry garcia","Cherry Garcias","cherry garcias"
option-name,"Vanilla Toffee Bar*","Vanilla Toffee Bar","vanilla toffee bar","Vanilla Toffee Bars","vanilla toffee bars"
option-name,"Coffee Toffee Bar*","Coffee Toffee Bar","coffee toffee bar","Coffee Toffee Bars","coffee toffee bars"
option-name,"Chocolate Fudge Brownie*","Chocolate Fudge Brownie","chocolate fudge brownie","Chocolate Fudge Brownies","chocolate fudge brownies"
option-name,"Americone Dream*","Americone Dream","americone dream","Americone Dreams","americone dreams"
option-name,"Karamel Sutra*","Karamel Sutra","karamel sutra","Karamel Sutras","karamel sutras"
option-name,"Half Baked*","Half Baked","half baked","Half Bakeds","half bakeds"
option-name,"Sweet Lassi   ($3.95)*","Sweet Lassi   ($3.95)","sweet lassi   ($3.95)","Sweet Lassi   ($3.95)s","sweet lassi   ($3.95)s","Sweet Lassi","sweet lassi","Sweet Lassis","sweet lassis"
option-name,"Mango Lassi   ($4.95)*","Mango Lassi   ($4.95)","mango lassi   ($4.95)","Mango Lassi   ($4.95)s","mango lassi   ($4.95)s","Mango Lassi","mango lassi","Mango Lassis","mango lassis"
option-name,"Naan   ($2.95)*","Naan   ($2.95)","naan   ($2.95)","Naan   ($2.95)s","naan   ($2.95)s","Naan","naan","Naans","naans"
option-name,"Mixed Pickle   ($1.95)*","Mixed Pickle   ($1.95)","mixed pickle   ($1.95)","Mixed Pickle   ($1.95)s","mixed pickle   ($1.95)s","Mixed Pickle","mixed pickle","Mixed Pickles","mixed pickles"
option-name,"Raita   ($3.00)*","Raita   ($3.00)","raita   ($3.00)","Raita   ($3.00)s","raita   ($3.00)s","Raita","raita","Raitas","raitas"
option-name,"Papadum    ($3.00)*","Papadum    ($3.00)","papadum    ($3.00)","Papadum    ($3.00)s","papadum    ($3.00)s","Papadum","papadum","Papadums","papadums"
option-name,"Dal Soup   ($4.95)*","Dal Soup   ($4.95)","dal soup   ($4.95)","Dal Soup   ($4.95)s","dal soup   ($4.95)s","Dal Soup","dal soup","Dal Soups","dal soups"
option-name,"Goat Cheese Naan   ($5.95)*","Goat Cheese Naan   ($5.95)","goat cheese naan   ($5.95)","Goat Cheese Naan   ($5.95)s","goat cheese naan   ($5.95)s","Goat Cheese Naan","goat cheese naan","Goat Cheese Naans","goat cheese naans"
option-name,"Pellegrino Water   ($3.50)*","Pellegrino Water   ($3.50)","pellegrino water   ($3.50)","Pellegrino Water   ($3.50)s","pellegrino water   ($3.50)s","Pellegrino Water","pellegrino water","Pellegrino Waters","pellegrino waters"
option-name,"Mild*","Mild","mild","Milds","milds"
option-name,"Hot*","Hot","hot"
option-name,"Paneer   ($1.75)*","Paneer   ($1.75)","paneer   ($1.75)","Paneer   ($1.75)s","paneer   ($1.75)s","Paneer","paneer","Paneers","paneers"
option-name,"Half   ($12.95)*","Half   ($12.95)","half   ($12.95)","Half   ($12.95)s","half   ($12.95)s","Half","half","Halfs","halfs"
option-name,"Fanta Orange*","Fanta Orange","fanta orange","Fanta Oranges","fanta oranges"
option-name,"Barq\\'s Root Beer*","Barq\\'s Root Beer","barq\\'s root beer","Barq\\'s Root Beers","barq\\'s root beers","Barq's Root Beer","barq's root beer","Barq's Root Beers","barq's root beers","Barq","barq","Barqs","barqs"
option-name,"Orange Mango*","Orange Mango","orange mango","Orange Mangos","orange mangos"
option-name,"Peach Tea*","Peach Tea","peach tea","Peach Teas","peach teas"
option-name,"Half Tea Half Lemonade*","Half Tea Half Lemonade","half tea half lemonade","Half Tea Half Lemonades","half tea half lemonades"
option-name,"Pomegranate Tea*","Pomegranate Tea","pomegranate tea","Pomegranate Teas","pomegranate teas"
option-name,"Small   ($4.00)*","Small   ($4.00)","small   ($4.00)","Small   ($4.00)s","small   ($4.00)s","Small","small","Smalls","smalls"
option-name,"Large   ($5.00)*","Large   ($5.00)","large   ($5.00)","Large   ($5.00)s","large   ($5.00)s","Large","large","Larges","larges"
option-name,"Small French Fries   ($4.00)*","Small French Fries   ($4.00)","small french fries   ($4.00)","Small French Fries   ($4.00)s","small french fries   ($4.00)s","Small French Fries","small french fries","Small French Frie","small french frie"
option-name,"Small Garlic Fries   ($5.00)*","Small Garlic Fries   ($5.00)","small garlic fries   ($5.00)","Small Garlic Fries   ($5.00)s","small garlic fries   ($5.00)s","Small Garlic Fries","small garlic fries","Small Garlic Frie","small garlic frie"
option-name,"Poppers (6 Pieces)   ($8.00)*","Poppers (6 Pieces)   ($8.00)","poppers (6 pieces)   ($8.00)","Poppers (6 Pieces)   ($8.00)s","poppers (6 pieces)   ($8.00)s","Poppers","poppers","Popper","popper"
option-name,"Garlic Bread with Cheese   ($6.00)*","Garlic Bread with Cheese   ($6.00)","garlic bread with cheese   ($6.00)","Garlic Bread with Cheese   ($6.00)s","garlic bread with cheese   ($6.00)s","Garlic Bread with Cheese","garlic bread with cheese","Garlic Bread with Cheeses","garlic bread with cheeses"
option-name,"Deep-Fried Oreos (4 Pieces)   ($5.00)*","Deep-Fried Oreos (4 Pieces)   ($5.00)","deep-fried oreos (4 pieces)   ($5.00)","Deep-Fried Oreos (4 Pieces)   ($5.00)s","deep-fried oreos (4 pieces)   ($5.00)s","Deep-Fried Oreos","deep-fried oreos","Deep-Fried Oreo","deep-fried oreo","Deep","deep","Deeps","deeps"
option-name,"Coke (Can)   ($1.50)*","Coke (Can)   ($1.50)","coke (can)   ($1.50)","Coke (Can)   ($1.50)s","coke (can)   ($1.50)s","Coke","coke","Cokes","cokes"
option-name,"Diet Coke (Can)   ($1.50)*","Diet Coke (Can)   ($1.50)","diet coke (can)   ($1.50)","Diet Coke (Can)   ($1.50)s","diet coke (can)   ($1.50)s","Diet Coke","diet coke","Diet Cokes","diet cokes"
option-name,"Mexican Coca Cola   ($3.00)*","Mexican Coca Cola   ($3.00)","mexican coca cola   ($3.00)","Mexican Coca Cola   ($3.00)s","mexican coca cola   ($3.00)s","Mexican Coca Cola","mexican coca cola","Mexican Coca Colas","mexican coca colas"
option-name,"6 Pieces   ($8.00)*","6 Pieces   ($8.00)","6 pieces   ($8.00)","6 Pieces   ($8.00)s","6 pieces   ($8.00)s","6 Pieces","6 pieces","6 Piece","6 piece"
option-name,"9 Pieces   ($12.00)*","9 Pieces   ($12.00)","9 pieces   ($12.00)","9 Pieces   ($12.00)s","9 pieces   ($12.00)s","9 Pieces","9 pieces","9 Piece","9 piece"
option-name,"12 Pieces   ($15.00)*","12 Pieces   ($15.00)","12 pieces   ($15.00)","12 Pieces   ($15.00)s","12 pieces   ($15.00)s","12 Pieces","12 pieces","12 Piece","12 piece"
option-name,"BBQ Sauce*","BBQ Sauce","bbq sauce","BBQ Sauces","bbq sauces"
option-name,"Wing Sauce*","Wing Sauce","wing sauce","Wing Sauces","wing sauces"
option-name,"Chipotle Sauce*","Chipotle Sauce","chipotle sauce","Chipotle Sauces","chipotle sauces"
