restaurant-name,"Bamboo*",Bamboo,bamboo,Bamboos,bamboos
restaurant-name,"Chili Lemon Garlic*",Chili Lemon Garlic,chili lemon garlic,Chili Lemon Garlics,chili lemon garlics,Chili Lemon,chili lemon,Chili Lemons,chili lemons
restaurant-name,"Clay Oven (Haight St)*",Clay Oven (Haight St),clay oven (haight st),Clay Oven (Haight St)s,clay oven (haight st)s,Clay Oven,clay oven,Clay Ovens,clay ovens
restaurant-name,"Clay Oven Indian Restaurant*",Clay Oven Indian Restaurant,clay oven indian restaurant,Clay Oven Indian Restaurants,clay oven indian restaurants,Clay Oven,clay oven,Clay Ovens,clay ovens
restaurant-name,"Extreme Pizza (Folsom)*",Extreme Pizza (Folsom),extreme pizza (folsom),Extreme Pizza (Folsom)s,extreme pizza (folsom)s,Extreme Pizza,extreme pizza,Extreme Pizzas,extreme pizzas
restaurant-name,"Fresco Pizza & Shawarma*",Fresco Pizza & Shawarma,fresco pizza & shawarma,Fresco Pizza & Shawarmas,fresco pizza & shawarmas,Fresco Pizza,fresco pizza,Fresco Pizzas,fresco pizzas
restaurant-name,"India Clay Oven*",India Clay Oven,india clay oven,India Clay Ovens,india clay ovens,India Clay,india clay,India Clays,india clays
restaurant-name,"Indian Oven Restaurant (Fillmore)*",Indian Oven Restaurant (Fillmore),indian oven restaurant (fillmore),Indian Oven Restaurant (Fillmore)s,indian oven restaurant (fillmore)s,Indian Oven Restaurant,indian oven restaurant,Indian Oven Restaurants,indian oven restaurants,Indian Oven,indian oven,Indian Ovens,indian ovens
restaurant-name,"Irving Pizza (Geary St)*",Irving Pizza (Geary St),irving pizza (geary st),Irving Pizza (Geary St)s,irving pizza (geary st)s,Irving Pizza,irving pizza,Irving Pizzas,irving pizzas
restaurant-name,"Little Delhi*",Little Delhi,little delhi,Little Delhis,little delhis
restaurant-name,"Little Szechuan (Broadway St)*",Little Szechuan (Broadway St),little szechuan (broadway st),Little Szechuan (Broadway St)s,little szechuan (broadway st)s,Little Szechuan,little szechuan,Little Szechuans,little szechuans
restaurant-name,"Live Sushi Bistro*",Live Sushi Bistro,live sushi bistro,Live Sushi Bistros,live sushi bistros,Live Sushi,live sushi,Live Sushis,live sushis
restaurant-name,"Makli Restaurant*",Makli Restaurant,makli restaurant,Makli Restaurants,makli restaurants
restaurant-name,"Melody Cafe*",Melody Cafe,melody cafe,Melody Cafes,melody cafes
restaurant-name,"Milan Pizza*",Milan Pizza,milan pizza,Milan Pizzas,milan pizzas
restaurant-name,"Mr. Pizza Man*",Mr. Pizza Man,mr. pizza man,Mr. Pizza Mans,mr. pizza mans,Mr. Pizza,mr. pizza,Mr. Pizzas,mr. pizzas
restaurant-name,"North India Restaurant (San Francisco)*",North India Restaurant (San Francisco),north india restaurant (san francisco),North India Restaurant (San Francisco)s,north india restaurant (san francisco)s,North India Restaurant,north india restaurant,North India Restaurants,north india restaurants,North India,north india,North Indias,north indias
restaurant-name,"Ozone Thai Restaurant & Lounge*",Ozone Thai Restaurant & Lounge,ozone thai restaurant & lounge,Ozone Thai Restaurant & Lounges,ozone thai restaurant & lounges,Ozone Thai Restaurant,ozone thai restaurant,Ozone Thai Restaurants,ozone thai restaurants,Ozone Thai,ozone thai,Ozone Thais,ozone thais
restaurant-name,"Perilla Vietnamese Cuisine (Mission St)*",Perilla Vietnamese Cuisine (Mission St),perilla vietnamese cuisine (mission st),Perilla Vietnamese Cuisine (Mission St)s,perilla vietnamese cuisine (mission st)s,Perilla Vietnamese Cuisine,perilla vietnamese cuisine,Perilla Vietnamese Cuisines,perilla vietnamese cuisines,Perilla Vietnamese,perilla vietnamese,Perilla Vietnameses,perilla vietnameses
restaurant-name,"Piccolo Italia Pizza*",Piccolo Italia Pizza,piccolo italia pizza,Piccolo Italia Pizzas,piccolo italia pizzas,Piccolo Italia,piccolo italia,Piccolo Italias,piccolo italias
restaurant-name,"Pizza Zone ''N'' Grill*",Pizza Zone ''N'' Grill,pizza zone ''n'' grill,Pizza Zone ''N'' Grills,pizza zone ''n'' grills,Pizza Zone,pizza zone,Pizza Zones,pizza zones
restaurant-name,"Pronto Pizza (SF)*",Pronto Pizza (SF),pronto pizza (sf),Pronto Pizza (SF)s,pronto pizza (sf)s,Pronto Pizza,pronto pizza,Pronto Pizzas,pronto pizzas
restaurant-name,"Royalty Pizza (Geary St)*",Royalty Pizza (Geary St),royalty pizza (geary st),Royalty Pizza (Geary St)s,royalty pizza (geary st)s,Royalty Pizza,royalty pizza,Royalty Pizzas,royalty pizzas
restaurant-name,"Tandoori Mahal*",Tandoori Mahal,tandoori mahal,Tandoori Mahals,tandoori mahals
restaurant-name,"V Cafe*",V Cafe,v cafe,V Cafes,v cafes
restaurant-name,"Veracio's Pizza*",Veracio's Pizza,veracio's pizza,Veracio's Pizzas,veracio's pizzas,Veracio,veracio,Veracios,veracios
restaurant-name,"Village Pizzeria (Van Ness)*",Village Pizzeria (Van Ness),village pizzeria (van ness),Village Pizzeria (Van Ness)s,village pizzeria (van ness)s,Village Pizzeria,village pizzeria,Village Pizzerias,village pizzerias
restaurant-name,"Wok & Go (24th St)*",Wok & Go (24th St),wok & go (24th st),Wok & Go (24th St)s,wok & go (24th st)s,Wok,wok,Wok & Go,wok & go,Wok & Gos,wok & gos,Wok &,wok &,Wok &s,wok &s
restaurant-name,"Zante Pizza and Indian Cuisine*",Zante Pizza and Indian Cuisine,zante pizza and indian cuisine,Zante Pizza and Indian Cuisines,zante pizza and indian cuisines,Zante Pizza,zante pizza,Zante Pizzas,zante pizzas
restaurant-name,"Amici's East Coast Pizzeria*",Amici's East Coast Pizzeria,amici's east coast pizzeria,Amici's East Coast Pizzerias,amici's east coast pizzerias,Amici,amici,Amicis,amicis,Amici's East,amici's east,Amici's Easts,amici's easts
restaurant-name,"GROUP ORDERING IS CLOSED*",GROUP ORDERING IS CLOSED,group ordering is closed,GROUP ORDERING IS CLOSEDs,group ordering is closeds,GROUP ORDERING,group ordering,GROUP ORDERINGs,group orderings
restaurant-name,"Sanppo Japanese (Via Delivery Service)*",Sanppo Japanese (Via Delivery Service),sanppo japanese (via delivery service),Sanppo Japanese (Via Delivery Service)s,sanppo japanese (via delivery service)s,Sanppo Japanese,sanppo japanese,Sanppo Japaneses,sanppo japaneses
